Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW21,OUT010,193.0439743
FDY19,OUT017,1682.21202
DRE03,OUT013,684.9616593
NCC55,OUT049,554.2210098
FDH52,OUT010,159.5267277
FDO09,OUT017,3468.853781
FDU43,OUT045,3464.325501
FDX09,OUT010,347.2341166
FDH40,OUT019,192.794403
FDW58,OUT017,1455.967708
FDC47,OUT017,3462.6249
NCR41,OUT035,1397.58513
DRG49,OUT035,3464.325501
FDC52,OUT027,3267.679509
FDY13,OUT046,1108.882227
FDY35,OUT013,575.0294192
FDI35,OUT017,2637.613923
NCU18,OUT049,1941.921483
FDY33,OUT018,2280.751143
FDC15,OUT027,3436.158113
FDU01,OUT049,2649.515911
NCU42,OUT046,2538.075162
NCV29,OUT018,2582.074565
NCY30,OUT017,2648.206335
FDQ46,OUT049,1624.891037
FDG58,OUT027,3362.018865
FDK33,OUT017,3289.065262
NCD07,OUT045,1667.047813
NCX29,OUT027,3358.300777
NCT42,OUT013,2162.182458
DRN59,OUT035,683.5955404
FDI44,OUT035,1178.854445
FDA45,OUT049,2582.074565
FDP31,OUT045,953.9385313
FDY01,OUT046,1666.292316
FDT09,OUT018,1879.444076
DRH03,OUT027,2422.57406
FDA36,OUT018,2649.515911
NCF31,OUT017,2177.237321
FDG14,OUT049,2172.260581
FDG28,OUT027,5566.882614
FDU14,OUT049,3466.518214
FDY47,OUT019,268.5582013
FDI56,OUT049,1242.831576
DRD01,OUT013,765.4008453
FDM22,OUT046,765.8207213
FDH33,OUT013,570.4853706
DRZ24,OUT013,1682.21202
NCQ38,OUT046,1461.184257
FDO16,OUT027,2070.958434
FDU07,OUT027,3491.092735
NCB07,OUT013,2657.383379
FDU48,OUT045,1879.444076
NCM43,OUT045,2482.389152
FDR31,OUT010,266.9387729
DRK49,OUT018,508.5997781
NCI30,OUT010,507.0030163
DRD60,OUT017,2625.739307
NCG19,OUT046,3461.959315
FDH12,OUT035,1462.176012
FDM32,OUT035,1246.308728
FDM27,OUT035,2200.194535
NCU53,OUT027,4117.040341
NCQ18,OUT046,1418.826909
FDS10,OUT013,2591.594924
FDB33,OUT027,3610.620878
FDI12,OUT013,1207.440975
NCW42,OUT013,3413.269441
NCC06,OUT018,1787.372851
FDW02,OUT017,1764.244406
NCD43,OUT017,1460.983156
FDM57,OUT018,1196.716853
FDA58,OUT017,3462.6249
FDK56,OUT046,2648.206335
FDP52,OUT045,3464.325501
FDW20,OUT018,1761.602244
FDS52,OUT049,1444.627462
NCT29,OUT018,1706.676736
NCL54,OUT013,2580.446865
FDC05,OUT045,2680.697006
FDF34,OUT035,2664.764169
FDP03,OUT027,3158.828335
FDD32,OUT010,140.2396296
FDZ10,OUT045,1787.372851
FDZ40,OUT035,765.8207213
FDD51,OUT018,525.9043564
NCY30,OUT019,353.7589418
FDP58,OUT017,3325.313642
FDV49,OUT017,3470.557441
FDY24,OUT019,118.0934462
NCO55,OUT017,1462.176012
FDR13,OUT017,1682.21202
FDS51,OUT017,803.0830752
FDP26,OUT045,1462.176012
NCB54,OUT027,3227.429069
FDF32,OUT017,2668.318529
FDN31,OUT018,2652.824026
DRM48,OUT017,548.5806405
FDN20,OUT049,2538.075162
DRL01,OUT046,3464.325501
FDV56,OUT049,1461.184257
DRH13,OUT027,2456.476539
FDA03,OUT017,2160.401153
FDF47,OUT027,5602.360064
FDX32,OUT046,2160.401153
FDX57,OUT049,1399.286607
NCA30,OUT045,2655.285915
FDO49,OUT013,689.9750266
FDL04,OUT019,227.4859589
DRM48,OUT035,549.8708183
FDR16,OUT013,3293.101271
NCC19,OUT018,2657.383379
NCE42,OUT045,3457.348174
FDY24,OUT017,765.8207213
FDH19,OUT049,2578.238132
FDJ46,OUT013,2578.238132
FDN45,OUT010,513.9335132
FDY08,OUT035,1904.199474
FDZ37,OUT035,1211.08416
NCT30,OUT045,686.0822251
DRY23,OUT018,516.4477036
NCZ30,OUT018,1755.416324
FDC44,OUT018,1662.509238
FDB45,OUT035,1457.156472
FDY04,OUT013,2458.644933
FDM27,OUT046,2280.751143
FDZ43,OUT017,3464.325501
FDT39,OUT019,360.8229576
NCC06,OUT019,259.5213723
FDL15,OUT027,3364.255597
FDL57,OUT017,3468.853781
FDU08,OUT046,1419.789934
FDK40,OUT017,3470.557441
FDQ12,OUT010,483.2806262
FDS48,OUT017,2172.260581
FDP09,OUT045,3293.452025
FDW21,OUT049,1424.317323
FDY25,OUT035,2625.739307
DRE13,OUT017,1209.984128
FDV43,OUT019,69.20856659
FDD22,OUT045,1619.544789
FDM46,OUT019,203.0899122
NCO30,OUT010,466.3471664
FDM25,OUT046,2578.238132
NCN41,OUT049,1755.416324
FDU24,OUT045,1288.558924
FDZ50,OUT046,2648.206335
FDP45,OUT013,3462.746876
NCM54,OUT045,1768.721421
FDW10,OUT019,335.1171433
FDP20,OUT017,1787.372851
FDK32,OUT046,2172.260581
FDN52,OUT049,1219.804713
FDM58,OUT045,1563.767029
FDZ46,OUT027,2668.752693
NCA18,OUT018,1682.21202
FDD35,OUT046,1755.416324
NCK31,OUT035,692.1919524
FDI40,OUT027,2526.836165
FDT50,OUT019,201.7539739
NCT06,OUT046,2480.680793
FDT31,OUT035,2649.515911
FDT45,OUT049,757.4360461
FDT13,OUT045,2649.515911
FDO50,OUT045,1240.659681
NCU18,OUT010,265.1258622
NCR54,OUT049,2657.383379
NCO18,OUT018,2582.074565
FDU09,OUT045,767.0243259
FDT13,OUT018,2649.515911
FDE09,OUT046,1625.844333
NCK53,OUT019,223.8760142
FDG45,OUT049,3295.069565
DRH15,OUT035,635.130427
FDO21,OUT019,460.5670972
FDD14,OUT027,4592.168323
FDC09,OUT046,1459.99221
FDH45,OUT027,879.3020558
FDV32,OUT046,955.4047521
FDG12,OUT035,1683.774641
FDS32,OUT013,1909.844314
NCL55,OUT018,3459.365781
DRE01,OUT035,3464.325501
DRE15,OUT049,1178.506131
NCL42,OUT045,3461.959315
FDP31,OUT013,948.6013813
FDN33,OUT018,1287.913862
FDZ59,OUT046,2480.680793
FDE45,OUT010,336.8144098
FDJ07,OUT013,1682.21202
FDQ45,OUT018,2648.206335
FDM33,OUT027,5479.407367
FDO15,OUT010,150.7618844
FDM46,OUT013,1255.62683
FDR03,OUT045,3106.043101
FDY49,OUT018,2508.063589
FDQ60,OUT045,1683.774641
FDW10,OUT049,2578.238132
FDO51,OUT049,589.2664345
FDJ40,OUT018,1469.663233
FDS20,OUT018,2639.181861
FDU45,OUT013,1651.631087
FDV02,OUT035,2538.075162
FDN09,OUT046,3462.6249
NCM55,OUT027,4623.501169
FDN23,OUT018,2160.401153
FDY31,OUT010,274.852191
FDW03,OUT010,206.0199241
FDD14,OUT046,2648.206335
FDV23,OUT017,1767.070156
DRI03,OUT045,2578.238132
FDN13,OUT035,1402.780576
FDF45,OUT027,1615.311291
FDU46,OUT035,1210.592271
FDB57,OUT049,3439.829874
FDV12,OUT049,1418.826909
FDQ58,OUT013,2172.260581
NCA18,OUT017,1675.790164
FDH52,OUT049,774.4992356
FDM24,OUT018,2172.260581
NCP43,OUT027,4393.228071
NCO18,OUT019,355.2324641
FDM32,OUT017,1237.094061
NCL07,OUT017,551.6460536
FDK03,OUT013,3464.447537
FDP59,OUT017,1455.967708
FDQ24,OUT049,3466.518214
FDQ16,OUT018,1498.432802
FDU44,OUT013,2299.136669
FDH28,OUT010,79.35857229
FDV28,OUT019,72.85513793
FDM22,OUT045,762.9026434
FDR56,OUT046,2657.383379
FDV39,OUT049,2664.764169
FDU37,OUT019,191.4620495
FDQ11,OUT010,543.0822696
FDX02,OUT045,3442.60939
NCS42,OUT018,1258.941692
FDY57,OUT027,2497.297796
FDB21,OUT049,3464.325501
FDE28,OUT017,3464.325501
FDQ55,OUT017,1662.509238
FDA48,OUT049,3439.829874
FDZ19,OUT045,2578.238132
NCC43,OUT045,3464.150531
NCV18,OUT046,1201.653003
NCA42,OUT018,2280.751143
FDY45,OUT046,3468.853781
NCC30,OUT045,2589.153099
FDM57,OUT013,1205.699947
FDL09,OUT010,317.7815205
FDB09,OUT027,3283.992014
FDT44,OUT035,1683.774641
NCT06,OUT027,4068.336548
FDX26,OUT049,2648.206335
FDK32,OUT013,2177.237321
DRA12,OUT046,1989.377782
FDO46,OUT010,447.0925924
FDE52,OUT013,1208.89491
NCH42,OUT045,3461.959315
FDV08,OUT035,570.584409
FDB47,OUT018,3286.656575
FDC28,OUT010,223.6797891
FDD22,OUT046,1662.509238
FDS07,OUT027,2955.881168
DRI13,OUT045,3321.562936
FDG32,OUT018,3435.506274
FDU14,OUT017,3466.518214
FDD28,OUT019,167.4371754
NCP41,OUT017,1503.727042
FDS08,OUT049,2578.238132
FDX47,OUT045,2251.272577
FDC53,OUT019,202.8318364
FDQ19,OUT035,3459.71121
FDL14,OUT045,2180.419197
FDM33,OUT019,481.5985653
FDA51,OUT045,1662.509238
FDZ27,OUT018,662.1077487
FDT04,OUT046,561.9154134
DRC13,OUT049,1767.070156
FDR16,OUT027,5431.258631
FDQ03,OUT027,5613.237004
FDE38,OUT035,2532.166067
DRH23,OUT027,1612.134596
FDT11,OUT019,451.5484362
FDD09,OUT035,2593.290035
FDR40,OUT045,1199.566742
FDX07,OUT017,2648.206335
FDR07,OUT035,1398.402636
FDA51,OUT017,1663.737381
FDT59,OUT019,477.3197467
FDF20,OUT017,2657.383379
FDR13,OUT045,1665.175078
FDY26,OUT049,3291.988247
FDW04,OUT017,1838.496758
FDK52,OUT017,3464.325501
FDN60,OUT049,2251.272577
FDM09,OUT019,321.1096302
FDP46,OUT049,1218.482148
FDB50,OUT019,193.326815
NCQ29,OUT049,3470.557441
FDP16,OUT027,5566.882614
FDX33,OUT018,2330.446953
FDP07,OUT010,461.0637616
FDN22,OUT046,3464.816536
FDF39,OUT049,3470.557441
FDS21,OUT017,774.4992356
NCM42,OUT013,1462.701105
FDK50,OUT019,333.109648
DRF13,OUT027,3359.520491
FDH35,OUT018,2476.858868
FDP60,OUT018,1413.831382
DRJ49,OUT027,3223.52583
NCT42,OUT019,327.3067062
FDE38,OUT049,2532.166067
FDI04,OUT049,2680.697006
NCH54,OUT045,2280.751143
FDT56,OUT049,771.0015178
DRD15,OUT018,3457.177591
FDV58,OUT013,2657.383379
FDP21,OUT049,2649.515911
FDH05,OUT013,3462.256134
FDR10,OUT027,3749.831609
NCP06,OUT045,2163.81872
FDF33,OUT049,1462.176012
DRK37,OUT013,2652.824026
DRH49,OUT045,1195.707484
FDT58,OUT013,2532.166067
FDD41,OUT018,1459.364005
FDP40,OUT018,1565.375385
FDM51,OUT027,2454.493774
FDO45,OUT010,155.8610425
FDW33,OUT010,210.517167
FDY24,OUT045,765.8207213
FDB10,OUT010,489.7949352
FDM40,OUT035,1951.521033
NCI06,OUT017,2625.739307
FDW12,OUT019,274.2364002
FDX48,OUT027,3369.310582
NCW05,OUT027,2395.784885
FDX27,OUT017,1397.525081
DRM37,OUT045,2680.697006
FDA38,OUT045,3464.325501
FDR36,OUT046,560.0335602
FDZ45,OUT046,2697.394856
FDG05,OUT017,2280.751143
FDK28,OUT013,3468.484352
FDV47,OUT045,1206.046425
FDN21,OUT045,2297.546861
FDP20,OUT027,3331.06323
FDI35,OUT045,2637.613923
DRY23,OUT013,573.3333985
FDA56,OUT017,1755.416324
FDB09,OUT013,1759.997359
NCO26,OUT027,2859.744018
FDQ49,OUT018,2226.643446
FDI52,OUT027,3146.669206
FDZ44,OUT027,2977.816788
FDZ09,OUT018,2480.680793
FDY03,OUT049,1662.509238
NCG42,OUT017,1839.851214
DRI13,OUT027,5397.995674
FDQ32,OUT013,1767.070156
FDW16,OUT035,1238.798997
FDU27,OUT046,686.2273397
FDR28,OUT010,339.4980184
FDQ49,OUT010,307.246715
FDS37,OUT046,1677.23815
FDW26,OUT018,3399.429717
FDX12,OUT018,3457.177591
NCP06,OUT013,2172.260581
FDW45,OUT010,271.4900383
NCN30,OUT049,1399.684119
FDN24,OUT049,757.4360461
NCL41,OUT027,859.5702429
FDR02,OUT019,245.6600184
FDD09,OUT010,393.0806723
FDS33,OUT010,144.8164982
FDU22,OUT045,1705.221084
FDI53,OUT013,2456.658864
DRH01,OUT049,2578.238132
FDX32,OUT013,1989.377782
NCP30,OUT018,501.1554966
FDB60,OUT045,2657.383379
FDB14,OUT049,1282.207749
NCP02,OUT035,767.0243259
FDJ10,OUT017,1922.544109
FDG34,OUT046,1566.095523
NCB18,OUT017,1215.846789
FDM16,OUT049,1105.329272
FDW25,OUT018,1201.518352
FDB35,OUT010,178.4814047
DRN11,OUT013,1998.903976
FDF41,OUT019,498.9839401
FDH16,OUT045,1219.309286
NCQ50,OUT018,3286.024805
DRH23,OUT018,761.8806332
DRJ37,OUT013,2172.260581
DRJ24,OUT027,4539.88079
FDY16,OUT035,2648.206335
FDQ27,OUT045,1470.718042
FDZ33,OUT045,2163.81872
FDF29,OUT045,1849.127461
FDA08,OUT049,2458.644933
FDG31,OUT046,955.4047521
FDE34,OUT019,420.6953626
NCR30,OUT027,1911.50468
FDV33,OUT035,3468.853781
DRZ24,OUT018,1744.589596
NCL54,OUT035,2578.238132
FDR12,OUT049,2578.238132
NCC54,OUT046,3464.325501
DRN59,OUT013,681.4061072
FDX50,OUT019,239.3666794
FDV31,OUT027,4329.769566
NCA29,OUT027,4308.740243
FDW60,OUT049,2580.446865
FDX08,OUT017,2641.369308
DRD49,OUT013,3462.256134
FDD33,OUT046,3464.325501
FDW35,OUT013,570.4853706
FDJ36,OUT017,1459.99221
FDV51,OUT035,2500.475824
FDW36,OUT046,1462.176012
FDH35,OUT046,2483.969369
NCS30,OUT027,3267.362339
FDN49,OUT017,554.4163488
FDL08,OUT018,3457.177591
FDI09,OUT013,3462.256134
FDP19,OUT018,1827.210422
FDU21,OUT010,64.55815572
NCP41,OUT045,1461.184257
FDY10,OUT013,1659.463371
FDP12,OUT018,496.7188878
NCN26,OUT049,1677.23815
FDK44,OUT013,2578.238132
FDC28,OUT049,1500.444549
FDJ41,OUT027,5499.156593
NCT29,OUT035,1761.602244
NCH42,OUT019,476.0223954
FDU60,OUT018,2529.528142
FDS02,OUT045,2657.383379
FDC51,OUT046,1755.416324
FDU03,OUT013,2647.020897
FDX39,OUT045,3295.069565
NCY05,OUT010,77.42551691
NCL06,OUT027,5622.508976
FDD32,OUT035,1177.086379
NCN41,OUT045,1755.416324
NCX53,OUT049,1941.921483
FDU57,OUT019,293.7412004
FDQ23,OUT046,1462.32415
FDQ52,OUT045,3466.518214
FDC14,OUT045,560.611081
FDY09,OUT035,2580.446865
FDQ28,OUT045,2203.883098
FDV25,OUT046,3411.989613
FDJ07,OUT035,1677.23815
DRB25,OUT049,1462.176012
FDK52,OUT019,498.9588849
FDY52,OUT027,1779.68395
FDB28,OUT046,2668.318529
FDT36,OUT035,549.2511363
FDV25,OUT017,3439.829874
NCN07,OUT027,3228.926691
FDC57,OUT017,2657.383379
FDQ03,OUT018,3457.177591
FDU23,OUT017,2529.528142
NCX41,OUT035,3295.069565
NCD06,OUT035,686.0822251
FDW08,OUT045,1462.176012
NCU29,OUT017,2160.401153
NCE06,OUT013,2313.341871
FDV52,OUT010,209.5221868
FDB02,OUT017,2580.446865
NCR18,OUT045,573.6798056
FDK16,OUT049,1401.203204
NCQ29,OUT010,552.838148
FDZ01,OUT019,210.6736985
FDW27,OUT035,2249.661561
FDD17,OUT018,3457.177591
FDW39,OUT013,2580.446865
DRH59,OUT045,1048.356251
FDS52,OUT013,1459.181721
FDU40,OUT027,5202.842796
NCF54,OUT013,2578.238132
FDH46,OUT045,1460.983156
NCP14,OUT049,1460.983156
FDH50,OUT049,2648.206335
DRF15,OUT010,300.7898508
FDV27,OUT027,2237.821675
NCJ06,OUT049,1744.589596
FDN02,OUT018,3105.678817
FDQ51,OUT049,683.5955404
FDQ07,OUT017,3439.829874
FDS45,OUT049,1470.718042
NCJ06,OUT045,1755.416324
FDD36,OUT035,1682.21202
FDY25,OUT045,2647.020897
FDU52,OUT046,2180.419197
DRK47,OUT017,3464.325501
NCL30,OUT017,1787.372851
FDN22,OUT035,3464.816536
NCF30,OUT027,3189.363464
FDK03,OUT035,3470.557441
FDT45,OUT017,767.0243259
NCC54,OUT027,5616.608424
FDP08,OUT018,2657.383379
FDU44,OUT046,2458.644933
DRG39,OUT035,757.4360461
FDU32,OUT049,1755.416324
FDY27,OUT049,2582.074565
NCP54,OUT013,1755.416324
NCZ41,OUT049,1768.721421
DRL49,OUT013,2007.985451
FDI05,OUT018,1172.598314
FDY56,OUT045,3464.325501
DRC13,OUT013,1767.070156
NCV29,OUT017,2591.594924
FDR24,OUT049,1237.251098
FDZ34,OUT018,2655.285915
FDP37,OUT035,1768.721421
FDX08,OUT027,4397.825654
FDS57,OUT045,1941.921483
NCG18,OUT049,1459.99221
FDK25,OUT018,2538.075162
FDH53,OUT049,1177.871259
DRI59,OUT018,3435.506274
FDA52,OUT046,2582.074565
FDT20,OUT010,63.86461214
FDE36,OUT019,322.0650429
FDI24,OUT017,2578.238132
FDB28,OUT018,2710.053751
FDV11,OUT017,2580.446865
FDP01,OUT046,2178.935987
FDD34,OUT027,3817.649451
FDJ50,OUT027,1460.594209
FDZ44,OUT013,1682.21202
DRO59,OUT035,1124.522035
DRB48,OUT045,555.0939641
FDR21,OUT018,2578.238132
NCE42,OUT010,465.5527145
FDO23,OUT046,1284.439261
NCE30,OUT018,3286.024805
FDQ22,OUT035,549.8708183
FDY01,OUT045,1666.292316
FDS08,OUT017,2582.074565
FDG28,OUT018,3457.177591
FDQ51,OUT018,662.1077487
FDB05,OUT017,3466.518214
FDO56,OUT049,1680.716047
FDE02,OUT018,1249.440616
FDN45,OUT017,3440.919446
FDS09,OUT013,684.9616593
NCA54,OUT018,2625.739307
FDP09,OUT010,488.4355313
FDC53,OUT045,1420.366754
NCM55,OUT017,2649.515911
FDL09,OUT018,2538.075162
FDA11,OUT019,205.939987
FDA50,OUT045,1399.684119
FDC23,OUT017,2590.262454
FDE22,OUT049,2280.751143
FDD23,OUT046,2649.515911
NCA29,OUT049,2578.238132
FDK38,OUT046,2160.401153
DRC13,OUT046,1755.416324
NCP43,OUT049,2591.594924
FDX28,OUT049,1421.670493
FDF08,OUT049,1241.484064
FDZ33,OUT046,2167.136999
FDD10,OUT049,2582.074565
FDO58,OUT017,2434.560667
FDI50,OUT017,3464.325501
FDO58,OUT045,2488.984153
FDX08,OUT013,2625.739307
NCK17,OUT010,67.47820515
FDF39,OUT035,3470.557441
FDU45,OUT010,242.4574652
NCJ18,OUT018,1682.21202
DRC27,OUT019,489.7492503
DRC25,OUT035,1209.057035
FDU59,OUT035,2299.136669
FDU28,OUT035,2654.601247
NCP30,OUT046,560.3526315
FDB39,OUT018,761.8806332
FDE41,OUT013,1207.440975
DRH11,OUT010,132.3537797
FDA58,OUT045,3462.6249
FDU50,OUT046,1666.292316
FDM34,OUT013,1827.210422
FDM44,OUT027,2438.523485
FDR39,OUT045,2648.206335
FDM25,OUT045,2578.238132
FDQ49,OUT049,2203.883098
DRH25,OUT018,745.0997615
FDM09,OUT027,4261.210406
FDL44,OUT019,381.1895986
NCR42,OUT018,492.1668208
DRL59,OUT046,757.4360461
FDX43,OUT013,2538.075162
DRK47,OUT010,478.8259497
FDU48,OUT018,1856.334266
FDY12,OUT045,701.590687
NCN43,OUT018,1755.416324
NCM55,OUT018,2648.206335
FDQ21,OUT027,3148.571617
FDX13,OUT035,3466.518214
NCK30,OUT027,5622.508976
FDG20,OUT049,2578.238132
DRG27,OUT017,558.6319169
FDY14,OUT018,3463.396676
FDP59,OUT035,1455.967708
FDU60,OUT017,2538.075162
NCC18,OUT019,324.86018
DRJ39,OUT017,3326.946825
FDS07,OUT049,1662.509238
FDM08,OUT027,5603.072534
FDP51,OUT045,1753.069108
FDU16,OUT035,1196.749689
FDH12,OUT013,1461.359766
DRE48,OUT010,435.5762945
